# Summary of Internet whois servers, 5 June 1997
# - derived from listing/documentation available via anonymous FTP in
#    sipb.mit.edu:/pub/whois/whois-servers.list  (Version 4.4)
# Please send any corrections to Matt Power <mhpower@athena.mit.edu>.
# This summary file may be redistributed provided that this notice
# section (the 7 lines at the top starting with ";") remains intact.
# Please refer to the whois-servers.list file for further information.

whois.ibm.com                   IBM C=US
whois.pacbell.com               Pacific Bell C=US
whois.sunquest.com              Sunquest Information Systems C=US
whois.berkeley.edu              University of California at Berkeley C=US
www.binghamton.edu              State University of New York at Binghamton C=US
finger.caltech.edu              California Institute of Technology C=US
csufresno.edu                   California State University - Fresno C=US
csuhayward.edu                  California State University - Hayward C=US
csus.edu                        California State University - Sacramento C=US
whois.cwru.edu                  Case Western Reserve University C=US
cc.fsu.edu                      Florida State University C=US
gettysburg.edu                  Gettysburg College C=US
gmu.edu                         George Mason University C=US
whois.dfci.harvard.edu          Dana-Farber Cancer Institute C=US
hmc.edu                         Harvey Mudd College C=US
indiana.edu                     Indiana University C=US
nii.isi.edu                     US Domain Registry C=US
whois.messiah.edu               Messiah College C=US
whois.rsmas.miami.edu           University of Miami, Rosentiel School of Marine and Atmospheric Sciences C=US
mit.edu                         Massachusetts Institute of Technology C=US
directory.msstate.edu           Mississippi State University C=US
vax2.winona.msus.edu            Minnesota State University - Winona C=US
info.nau.edu                    Northern Arizona University C=US
whois.ncsu.edu                  North Carolina State University C=US
nd.edu                          University of Notre Dame C=US
earth.njit.edu                  New Jersey Institute of Technology C=US
vm1.nodak.edu                   North Dakota State University C=US
austin.onu.edu                  Ohio Northern University C=US
ph.orst.edu                     Oregon State University C=US
osu.edu                         Ohio State University C=US
whois.oxy.edu                   Occidental College C=US
info.psu.edu                    Pennsylvania State University C=US
whois.cc.rochester.edu          University of Rochester C=US
whitepages.rutgers.edu          Rutgers University C=US
whois.sdsu.edu                  San Diego State University C=US
stanford.edu                    Stanford University C=US
camis.stanford.edu              Stanford University C=US
whois.slac.stanford.edu         Stanford Linear Accelerator Center C=US
stjohns.edu                     St. John's University C=US
sunysb.edu                      State University of New York, Stony Brook C=US
whois.bcm.tmc.edu               Baylor College of Medicine C=US
whois.ubalt.edu                 University of Baltimore C=US
directory.ucdavis.edu           University of California at Davis C=US
uchicago.edu                    University of Chicago C=US
ucsd.edu                        University of California at San Diego C=US
weber.ucsd.edu                  University of California at San Diego, Division of Social Sciences C=US
cgl.ucsf.edu                    University of California at San Francisco, School of Pharmacy C=US
whois.uh.edu                    University of Houston C=US
whois.umass.edu                 University of Massachusetts at Amherst C=US
lookup.umd.edu                  University of Maryland C=US
umn.edu                         University of Minnesota C=US
ns.unl.edu                      University of Nebraska at Lincoln C=US
whois.upenn.edu                 University of Pennsylvania C=US
x500.utexas.edu                 University of Texas at Austin C=US
netlib2.cs.utk.edu              na-net (linear algebra on computers) C=US
whois.virginia.edu              University of Virginia C=US
whois.wfu.edu                   Wake Forest University C=US
wisc.edu                        University of Wisconsin C=US
wpi.wpi.edu                     Worcester Polytechnic Institute C=US
ibc.wustl.edu                   Washington University C=US
vm1.hqadmin.doe.gov             U.S. Department of Energy Headquarters C=US
